Errors,ID,Latitude,Longitude,Adresse,CP,Ville
Inversion Lat Long,89380002,352856.74508727,4788083.1238847,route nationale 6 la fosse aux anglais,89380,appoigny
Marker Hors Zone,89380004,6077706.11935,393373.180041,76 route d'auxerre,89380,appoigny
Lat Long Vides,89600002,,,route de geneve,89600,saint-florentin
Marker Hors Zone,89600002,0,0,route de geneve,89600,saint-florentin
Lat Long Vides,91100011,,,18 boulevard jean jaurès,91100,corbeil essonnes
Marker Hors Zone,91100011,0,0,18 boulevard jean jaurès,91100,corbeil essonnes
Inversion Lat Long,91490002,246799.022236,4840737.07208,avenue de ganay,91490,milly-la-forêt
Inversion Lat Long,91590008,237442,4850700,route de corbeil,91590,baulne
Lat Long Vides,92500010,,,32-40 avenue du 18 juin 1940,92500,rueil-malmaison
Marker Hors Zone,92500010,0,0,32-40 avenue du 18 juin 1940,92500,rueil-malmaison
Marker Hors Zone,92700019,48.92343,2.24913,14 boulevard edgarue quinet,92700,colombes
Marker Hors Zone,93240003,6260655.98007,264919.477127,17 avenue marcel cachin,93240,stains
Inversion Lat Long,93380006,235874,4895820,89 avenue lénine,93380,pierrefitte-sur-seine
Marker Hors Zone,94100010,48.79818,2.48066,57 boulevard de creteil,94100,st maur des fosses
Lat Long Vides,94240007,,,149 rue paul hochard,94240,l'hay les roses
Marker Hors Zone,94240007,0,0,149 rue paul hochard,94240,l'hay les roses
Inversion Lat Long,94400004,241738,4879444,2 rue eugène hénaff,94400,vitry-sur-seine
Inversion Lat Long,94500001,249498,4882315,114 avenue du général de gaulle,94500,champigny-sur-marne
Lat Long Vides,95000012,,,blieu-dit decancourt,95000,jouy le moutier
Marker Hors Zone,95000012,0,0,blieu-dit decancourt,95000,jouy le moutier
Lat Long Vides,95230005,,,59 bis avenue kellermann,95230,soisy sous montmorency
Marker Hors Zone,95230005,0,0,59 bis avenue kellermann,95230,soisy sous montmorency
Lat Long Vides,95310005,,,56 rue de paris route nationale 14,95310,saint-ouen-l'aumone
Marker Hors Zone,95310005,0,0,56 rue de paris route nationale 14,95310,saint-ouen-l'aumone
Lat Long Vides,95330001,,,2 avenue de lycee,95330,domont
Marker Hors Zone,95330001,0,0,2 avenue de lycee,95330,domont
Lat Long Vides,95330006,,,2 avenue du lycée,95330,domont
Marker Hors Zone,95330006,0,0,2 avenue du lycée,95330,domont
Inversion Lat Long,95500002,246473.38773826,4896718.6476541,route nationale 370,95500,gonesse
Marker Hors Zone,95540003,49.05321,2.17587,lieudit les 4 chemins-rn1,95540,mery sur oise
